Task Name,Category,Days to Deadline,Interest Level,Duration,Age,Gender,Priority
Maths Homework,Educational,2,3,90,10,Male,High
Sinhala Essay Writing,Educational,5,2,60,9,Female,Medium
Play Cricket,Other,3,9,75,11,Male,High
Read Fairy Tales,Other,6,8,60,7,Female,Medium
Science Experiment,Educational,1,1,120,12,Male,High
Help Parents Cook,Other,4,9,90,9,Female,Medium
Dance Rehearsal,Other,2,7,60,9,Female,High
Art Project,Educational,7,4,60,6,Male,Low
Gardening,Other,5,6,90,8,Male,Medium
Sinhala Reading Practice,Educational,3,4,90,7,Female,Medium
Play Football,Other,2,9,120,12,Male,High
Write a Short Story,Educational,3,1,60,10,Female,Medium
Practice Guitar,Other,6,8,90,12,Male,Medium
Tamil Vocabulary Practice,Educational,4,3,60,6,Female,Medium
Painting Competition,Educational,3,5,120,12,Male,High
Badminton Practice,Other,2,8,90,11,Female,High
English Spelling Practice,Educational,5,2,90,9,Male,Medium
Build LEGO Tower,Other,7,9,60,8,Male,Low
Clean Bedroom,Other,4,6,60,7,Female,Medium
Science Quiz Preparation,Educational,2,4,90,10,Male,High
Maths Homework,Educational,2,3,90,10,Male,High
Sinhala Essay Writing,Educational,5,2,60,9,Female,Medium
Play Cricket,Other,3,9,75,11,Male,High
Read Fairy Tales,Other,6,8,60,7,Female,Medium
Science Experiment,Educational,1,1,120,12,Male,High
Help Parents Cook,Other,4,9,90,9,Female,Medium
Dance Rehearsal,Other,2,7,60,9,Female,High
Art Project,Educational,7,4,60,6,Male,Low
Gardening,Other,5,6,90,8,Male,Medium
Sinhala Reading Practice,Educational,3,4,90,7,Female,Medium
Play Football,Other,2,9,120,12,Male,High
Write a Short Story,Educational,3,1,60,10,Female,Medium
Practice Guitar,Other,6,8,90,12,Male,Medium
Tamil Vocabulary Practice,Educational,4,3,60,6,Female,Medium
Painting Competition,Educational,3,5,120,12,Male,High
Badminton Practice,Other,2,8,90,11,Female,High
English Spelling Practice,Educational,5,2,90,9,Male,Medium
Build LEGO Tower,Other,7,9,60,8,Male,Low
Clean Bedroom,Other,4,6,60,7,Female,Medium
Science Quiz Preparation,Educational,2,4,90,10,Male,High
Maths Homework,Educational,2,3,90,10,Male,High
Sinhala Essay Writing,Educational,5,2,60,9,Female,Medium
Play Cricket,Other,3,9,75,11,Male,High
Read Fairy Tales,Other,6,8,60,7,Female,Medium
Science Experiment,Educational,1,1,120,12,Male,High
Help Parents Cook,Other,4,9,90,9,Female,Medium
Dance Rehearsal,Other,2,7,60,9,Female,High
Art Project,Educational,7,4,60,6,Male,Low
Gardening,Other,5,6,90,8,Male,Medium
Sinhala Reading Practice,Educational,3,4,90,7,Female,Medium
Play Football,Other,2,9,120,12,Male,High
Write a Short Story,Educational,3,1,60,10,Female,Medium
Practice Guitar,Other,6,8,90,12,Male,Medium
Tamil Vocabulary Practice,Educational,4,3,60,6,Female,Medium
Painting Competition,Educational,3,5,120,12,Male,High
Badminton Practice,Other,2,8,90,11,Female,High
English Spelling Practice,Educational,5,2,90,9,Male,Medium
Build LEGO Tower,Other,7,9,60,8,Male,Low
Clean Bedroom,Other,4,6,60,7,Female,Medium
Science Quiz Preparation,Educational,2,4,90,10,Male,High
Maths Homework,Educational,2,3,90,10,Male,High
Sinhala Essay Writing,Educational,5,2,60,9,Female,Medium
Play Cricket,Other,3,9,75,11,Male,High
Read Fairy Tales,Other,6,8,60,7,Female,Medium
Science Experiment,Educational,1,1,120,12,Male,High
Help Parents Cook,Other,4,9,90,9,Female,Medium
Dance Rehearsal,Other,2,7,60,9,Female,High
Art Project,Educational,7,4,60,6,Male,Low
Gardening,Other,5,6,90,8,Male,Medium
Sinhala Reading Practice,Educational,3,4,90,7,Female,Medium
Play Football,Other,2,9,120,12,Male,High
Write a Short Story,Educational,3,1,60,10,Female,Medium
Practice Guitar,Other,6,8,90,12,Male,Medium
Tamil Vocabulary Practice,Educational,4,3,60,6,Female,Medium
Painting Competition,Educational,3,5,120,12,Male,High
Badminton Practice,Other,2,8,90,11,Female,High
English Spelling Practice,Educational,5,2,90,9,Male,Medium
Build LEGO Tower,Other,7,9,60,8,Male,Low
Clean Bedroom,Other,4,6,60,7,Female,Medium
Science Quiz Preparation,Educational,2,4,90,10,Male,High
Maths Homework,Educational,2,3,90,10,Male,High
Sinhala Essay Writing,Educational,5,2,60,9,Female,Medium
Play Cricket,Other,3,9,75,11,Male,High
Read Fairy Tales,Other,6,8,60,7,Female,Medium
Science Experiment,Educational,1,1,120,12,Male,High
Help Parents Cook,Other,4,9,90,9,Female,Medium
Dance Rehearsal,Other,2,7,60,9,Female,High
Art Project,Educational,7,4,60,6,Male,Low
Gardening,Other,5,6,90,8,Male,Medium
Sinhala Reading Practice,Educational,3,4,90,7,Female,Medium
Play Football,Other,2,9,120,12,Male,High
Write a Short Story,Educational,3,1,60,10,Female,Medium
Practice Guitar,Other,6,8,90,12,Male,Medium
Tamil Vocabulary Practice,Educational,4,3,60,6,Female,Medium
Painting Competition,Educational,3,5,120,12,Male,High
Badminton Practice,Other,2,8,90,11,Female,High
English Spelling Practice,Educational,5,2,90,9,Male,Medium
Build LEGO Tower,Other,7,9,60,8,Male,Low
Clean Bedroom,Other,4,6,60,7,Female,Medium
Science Quiz Preparation,Educational,2,4,90,10,Male,High
Art Class,Educational,3,6,90,11,Female,High
Sinhala Wri,Educational,3,3,60,8,Female,Medium
Cycling,Other,6,9,60,9,Male,Medium
Coloring Book,Other,6,8,30,7,Female,Medium
History Home Work,Educational,1,5,60,9,Male,High
Origami,Other,5,7,45,6,Male,Medium
Drama Practice,Other,4,7,90,12,Female,Medium
Swimming Practice,Other,5,9,90,9,Male,Medium
Read a Storybook,Educational,7,4,30,8,Male,Low
Maths Homework,Educational,2,4,30,10,Male,Medium
Science Homework,Educational,3,5,45,12,Male,High
Play Cricket,Other,1,8,60,8,Male,Low
Dance Practice,Other,7,7,45,6,Female,Medium
Reading Story,Educational,4,3,30,7,Female,Low
Drawing,Educational,5,2,45,6,Female,Low
Play Basketball,Other,6,9,60,11,Male,Medium
Maths Homework,Educational,1,3,30,9,Male,High
Play Chess,Other,8,4,50,6,Female,Low
Sinhala Homework,Educational,2,5,30,9,Female,High
Play Soccer,Other,9,6,60,10,Male,Medium
Music Practice,Other,4,3,30,12,Female,Low
Maths Homework,Educational,10,5,45,7,Male,Low
Science Experiment,Educational,6,8,60,8,Female,Medium
Maths Revision,Educational,3,7,45,10,Male,High
Play Cricket,Other,2,6,60,7,Male,Low
Art Project,Educational,5,4,30,6,Female,Low
Play Guitar,Other,4,2,60,12,Male,Low
English Homework,Educational,3,3,45,9,Female,Medium
Play Football,Other,6,6,60,7,Male,Medium
Maths Homework,Educational,2,4,30,8,Male,Low
Science Homework,Educational,1,9,60,12,Female,Medium
Reading,Educational,8,7,30,6,Female,Low
Play Cricket,Other,3,5,60,11,Male,Medium
Drawing,Educational,5,3,45,10,Female,Low
Maths Homework,Educational,2,2,60,6,Male,High
Science Project,Educational,9,4,60,8,Female,Low
English Homework,Educational,1,3,30,10,Female,High
Dance Practice,Other,7,5,45,6,Female,Low
Art Assignment,Educational,4,3,45,9,Male,Medium
Music Practice,Other,5,6,30,12,Female,Low
Maths Homework,Educational,2,7,45,8,Male,Medium
Science Experiment,Educational,3,9,60,7,Female,Low
Play Soccer,Other,6,5,60,9,Male,Low
Play Chess,Other,8,4,50,12,Male,Low
Drawing,Educational,5,3,30,7,Female,Low
Maths Homework,Educational,10,6,45,6,Male,Low
English Homework,Educational,2,8,30,8,Female,High
Science Project,Educational,7,3,45,10,Male,Low
Art Project,Educational,4,2,30,9,Female,Low
Play Football,Other,3,4,60,12,Male,Medium
Maths Homework,Educational,6,2,45,8,Male,High
Science Project,Educational,5,5,60,10,Female,Low
Reading,Educational,9,7,30,6,Female,Low
English Homework,Educational,7,4,45,7,Female,Medium
Science Homework,Educational,2,6,45,11,Male,High
Drawing,Educational,6,4,45,12,Female,Low
Dance Practice,Other,3,7,60,10,Female,Medium
Play Chess,Other,4,6,60,12,Male,Low
Play Cricket,Other,9,8,60,7,Female,Medium
Maths Homework,Educational,3,9,30,12,Male,High
Science Experiment,Educational,1,4,30,10,Female,High
Play Soccer,Other,6,5,60,6,Male,Medium
Dance Practice,Other,8,7,30,11,Female,Low
Music Practice,Other,7,5,60,10,Male,Low
Drawing,Educational,6,3,45,9,Female,Low
Maths Homework,Educational,2,4,30,9,Male,Medium
Play Cricket,Other,4,3,60,8,Male,Low
Science Homework,Educational,2,7,30,8,Female,Medium
Maths Revision,Educational,1,9,45,7,Male,Low
Art Assignment,Educational,9,5,60,6,Female,Low
Reading,Educational,6,3,30,7,Male,Low
Science Homework,Educational,8,4,45,9,Male,Low
Sinhala Grammar Exercise,Educational,4,3,40,10,Female,Medium
Sinhala Vocabulary Quiz,Educational,2,4,40,8,Female,High
